03/06/21;11:05:09;1/00018465;Cartao  Débito;61,0
03/06/21;11:07:28;1/00018466;Cartao  Débito;30,16
03/06/21;11:08:59;1/00018467;Cartao  Débito;22,75
03/06/21;11:11:08;1/00018468;Cartao  Débito;53,24
03/06/21;11:14:35;1/00018469;Cartao Crédito;48,92
03/06/21;11:22:03;1/00018470;Dinheiro;53,49
03/06/21;11:29:02;1/00018471;Cartao  Débito;49,59
03/06/21;11:30:57;1/00018472;Cartao  Débito;19,93
03/06/21;11:52:29;1/00018473;Cartao Crédito;13,24
03/06/21;11:53:07;1/00018474;Cartao  Débito;38,0
03/06/21;11:59:29;1/00018475;Cartao Crédito;21,5
03/06/21;07:42:58;39814;Dinheiro;18,5
03/06/21;07:59:49;39817;Dinheiro;4,64
03/06/21;08:00:18;39818;Dinheiro;4,64
03/06/21;08:22:05;39822;Dinheiro;25,35
03/06/21;08:48:39;39823;Dinheiro;22,46
03/06/21;08:49:02;39824;Dinheiro;22,46
03/06/21;08:49:48;39825;Dinheiro;2,14
03/06/21;08:50:33;39826;Dinheiro;12,5
03/06/21;09:29:09;39835;Dinheiro;42,62
03/06/21;09:34:49;39836;Dinheiro;23,3
03/06/21;09:49:36;39837;Dinheiro;7,97
03/06/21;10:26:56;39845;Dinheiro;49,26
03/06/21;10:56:02;39850;Dinheiro;52,63
03/06/21;11:33:32;39861;Dinheiro;101,89
03/06/21;11:45:34;39862;Dinheiro;7,32
03/06/21;12:20:32;39866;Crediário;4,0
04/06/21;07:39:27;1/00018476;Cartao  Débito;19,4
04/06/21;07:55:02;1/00018477;Cartao  Débito;13,0
04/06/21;08:12:42;1/00018478;Dinheiro;7,14
04/06/21;08:22:41;1/00018479;Dinheiro;5,71
04/06/21;08:25:35;1/00018480;Cartao  Débito;7,84
04/06/21;08:32:19;1/00018481;Cartao  Débito;7,86
04/06/21;08:40:38;1/00018482;Cartao Crédito;3,45
04/06/21;08:42:09;1/00018483;Cartao Crédito;9,38
04/06/21;09:08:03;1/00018484;Cartao  Débito;55,32
04/06/21;09:10:44;1/00018485;Cartao Crédito;28,24
04/06/21;09:33:24;1/00018486;Cartao Crédito;17,77
04/06/21;09:42:05;1/00018487;Cartao  Débito;12,5
04/06/21;10:44:42;1/00018488;Cartao  Débito;9,63
04/06/21;10:57:24;1/00018489;Cartao Crédito;4,0
04/06/21;10:59:02;1/00018490;Cartao Crédito;58,06
04/06/21;11:17:27;1/00018491;Cartao Crédito;26,5
04/06/21;11:24:57;1/00018492;Cartao Crédito;70,56
04/06/21;11:28:29;1/00018493;Cartao Crédito;13,5
04/06/21;11:29:09;1/00018494;Cartao Crédito;34,87
04/06/21;11:31:08;1/00018495;Cartao Crédito;20,24
04/06/21;11:34:23;1/00018496;Cartao Crédito;38,73
04/06/21;12:10:31;1/00018497;Cartao  Débito;29,22
04/06/21;14:06:13;1/00018498;Cartao  Débito;27,54
04/06/21;14:37:28;1/00018499;Cartao Crédito;107,57
04/06/21;15:01:58;1/00018500;Cartao Crédito;11,6
04/06/21;15:03:49;1/00018501;Cartao Crédito;26,03
04/06/21;15:05:12;1/00018502;Cartao Crédito;89,38
04/06/21;15:08:20;1/00018504;Cartao  Débito;6,88
04/06/21;15:48:34;1/00018505;Cartao  Débito;24,4
04/06/21;16:01:25;1/00018506;Cartao Crédito;24,55
04/06/21;16:07:20;1/00018507;Cartao Crédito;47,26
04/06/21;16:10:27;1/00018508;Cartao Crédito;30,5
04/06/21;16:16:47;1/00018509;Cartao  Débito;20,92
04/06/21;16:30:31;1/00018510;Cartao Crédito;69,97
04/06/21;16:39:23;1/00018511;Cartao  Débito;11,8
04/06/21;16:44:33;1/00018512;Cartao  Débito;15,75
04/06/21;16:50:43;1/00018513;Cartao  Débito;16,0
04/06/21;16:51:07;1/00018514;Cartao  Débito;50,0
04/06/21;16:51:36;1/00018515;Cartao  Débito;4,88
04/06/21;17:00:50;1/00018516;Cartao  Débito;46,02
04/06/21;17:31:24;1/00018517;Cartao Crédito;9,07
04/06/21;17:37:23;1/00018518;Cartao Crédito;14,68
04/06/21;17:41:18;1/00018519;Cartao  Débito;18,13
04/06/21;17:52:34;1/00018520;Cartao  Débito;25,52
04/06/21;17:56:20;1/00018521;Cartao  Débito;14,0
04/06/21;18:03:08;1/00018522;Cartao  Débito;21,43
04/06/21;18:07:47;1/00018523;Cartao Crédito;25,93
04/06/21;18:11:04;1/00018524;Cartao Crédito;4,34
04/06/21;18:11:53;1/00018525;Cartao Crédito;37,02
04/06/21;18:14:17;1/00018526;Cartao Crédito;5,83
04/06/21;18:24:55;1/00018527;Cartao  Débito;33,97
04/06/21;18:26:12;1/00018528;Cartao  Débito;5,79
04/06/21;18:32:36;1/00018529;Cartao  Débito;13,22
04/06/21;18:35:58;1/00018530;Cartao Crédito;14,5
04/06/21;18:37:26;1/00018531;Cartao Crédito;27,81
04/06/21;18:45:47;1/00018532;Cartao Crédito;5,71
04/06/21;18:47:24;1/00018533;Cartao  Débito;21,34
04/06/21;18:48:47;1/00018534;Cartao Crédito;11,26
04/06/21;18:57:44;1/00018535;Cartao  Débito;27,5
04/06/21;19:00:07;1/00018536;Cartao  Débito;24,5
04/06/21;19:02:41;1/00018537;Cartao  Débito;36,83
04/06/21;19:06:32;1/00018538;Cartao  Débito;56,35
04/06/21;19:12:06;1/00018539;Cartao  Débito;18,07
04/06/21;19:13:42;1/00018540;Cartao  Débito;42,07
04/06/21;19:39:48;1/00018541;Cartao  Débito;37,56
04/06/21;19:41:20;1/00018542;Cartao Crédito;18,67
04/06/21;20:08:10;1/00018543;Cartao Crédito;97,54
04/06/21;07:29:03;39868;Dinheiro;3,39
04/06/21;07:43:22;39870;Dinheiro;7,0
04/06/21;07:44:13;39871;Dinheiro;5,53
04/06/21;07:47:04;39872;Dinheiro;8,85
04/06/21;07:54:31;39873;Dinheiro;7,66
04/06/21;08:08:17;39875;Dinheiro;15,02
04/06/21;08:11:28;39876;Dinheiro;9,78
04/06/21;08:49:50;39884;Dinheiro;5,53
04/06/21;08:56:20;39885;Dinheiro;48,53
04/06/21;08:59:24;39886;Dinheiro;2,74
04/06/21;09:12:46;39889;Dinheiro;5,3
04/06/21;09:31:21;39890;Dinheiro;6,0
04/06/21;09:58:25;39894;Dinheiro;9,33
04/06/21;10:36:14;39895;Dinheiro;69,55
04/06/21;10:39:47;39896;Dinheiro;6,0
04/06/21;10:50:25;39901;Dinheiro;21,3
04/06/21;10:58:18;39905;Dinheiro;7,0
04/06/21;11:32:22;39912;Dinheiro;20,19
04/06/21;11:38:53;39915;Dinheiro;37,0
04/06/21;13:24:22;39917;Dinheiro;4,5
04/06/21;15:30:20;39926;Dinheiro;11,07
04/06/21;15:41:25;39927;Dinheiro;6,0
04/06/21;15:46:38;39928;Dinheiro;7,49
04/06/21;15:47:37;39929;Dinheiro;21,49
04/06/21;16:06:45;39932;Dinheiro;29,5
04/06/21;16:24:49;39937;Dinheiro;50,0
04/06/21;16:25:50;39938;Dinheiro;11,85
04/06/21;16:35:50;39940;Dinheiro;21,92
04/06/21;16:37:58;39941;Dinheiro;4,22
04/06/21;16:41:04;39944;Dinheiro;6,31
04/06/21;17:09:22;39954;Crediário;343,83
